Average Delta Voltage Per MAC,Baseline Accuracy,Optical Accuracy,Difference Distribution Mean,Difference Distribution Std Dev,Timecode
0.275848574,0.988,0.99,0.025979336,0.052864172,2022-01-11_164250
0.068724265,0.988,0.46,0.026873313,0.048027633,2022-01-11_171017
0.299506217,0.988,0.8,0.016775419,0.105904925,2022-01-11_173743
0.334030213,0.988,1,0.052865312,0.056581978,2022-01-11_180511
0.15600388,0.988,0.86,0.048610832,0.055762632,2022-01-11_183239
0.21736285,0.988,1,0.046490294,0.058509805,2022-01-11_190002
0.037720616,0.988,0.44,0.028571496,0.048862196,2022-01-11_192728
0.114104832,0.988,0.99,0.069127391,0.131816866,2022-01-11_195506
0.159005117,0.988,1,0.025660519,0.061588161,2022-01-11_202245
0.086191537,0.988,0.8,0.036573615,0.064279082,2022-01-11_205023
0.10022996,0.988,1,0.037757031,0.082628275,2022-01-11_211758
0.027875413,0.988,0.38,0.048328394,0.078916354,2022-01-11_214538
0.043191942,0.988,0.72,0.18173767,0.370004004,2022-01-11_221315
0.33153216,0.988,1,0.041489794,0.052355688,2022-01-11_224047
0.307845809,0.988,0.75,0.038476853,0.051570093,2022-01-11_230832
0.557215962,0.988,0.96,0.150649432,0.184141993,2022-01-11_233610
0.174180552,0.988,0.72,0.035336114,0.049091614,2022-01-12_000344
0.096286217,0.988,0.86,0.301187572,0.507645011,2022-01-12_003115
0.045041635,0.988,0.96,0.036355478,0.081671795,2022-01-12_094726
0.026024072,0.988,0.39,0.034421442,0.089682197,2022-01-12_101428
0.011246663,0.988,0.19,0.784189838,1.834292235,2022-01-12_104133
0.024267378,0.988,0.9,0.178670552,0.311394782,2022-01-12_110852
0.017999473,0.988,0.68,0.095482133,0.223501788,2022-01-12_113548
0.053285493,0.988,0.97,0.048852343,0.09185339,2022-01-12_120248
0.031640375,0.988,0.13,0.040144196,0.082614236,2022-01-12_122943
0.007583092,0.988,0.14,0.792899852,2.137713856,2022-01-12_125646
0.040015725,0.988,0.93,0.228576257,0.58166499,2022-01-12_132354
0.028508554,0.988,0.93,0.092340842,0.168205957,2022-01-12_135106
0.070013262,0.988,0.97,0.031364383,0.091686158,2022-01-12_141819
0.016055418,0.988,0.66,0.082355187,0.299777324,2022-01-12_151333
0.045590885,0.988,0.96,0.084543471,0.158583593,2022-01-12_154110
0.024220295,0.988,0.88,0.031732444,0.140571691,2022-01-12_160846
0.047004794,0.988,0.93,0.04944891,0.102921829,2022-01-12_163618
0.059436029,0.988,0.93,0.039946402,0.091699165,2022-01-12_170354
